OrderID,Date,CustomerID,Age,City,Category,Quantity,Price,Income
1001,2023-01-01,251,25.0,Bangalore,Grocery,7,100,90000.0
1002,2023-01-02,292,,Bangalore,Grocery,3,200,
1003,2023-01-03,214,25.0,,Electronics,1,,
1004,2023-01-04,271,35.0,Bangalore,Electronics,5,500,30000.0
1005,2023-01-05,260,30.0,,Clothing,4,500,50000.0
1006,2023-01-06,220,40.0,Bangalore,Grocery,8,500,
1007,2023-01-07,282,35.0,Delhi,Grocery,1,500,90000.0
1008,2023-01-08,286,25.0,Bangalore,Electronics,1,200,70000.0
1009,2023-01-09,274,40.0,,Clothing,4,1000,90000.0
1010,2023-01-10,274,25.0,Mumbai,Grocery,8,,50000.0
1011,2023-01-11,287,25.0,Bangalore,Grocery,5,100,90000.0
1012,2023-01-12,299,30.0,Mumbai,Clothing,2,1000,30000.0
1013,2023-01-13,223,40.0,Delhi,Clothing,6,500,50000.0
1014,2023-01-14,202,40.0,Pune,Grocery,5,1000,70000.0
1015,2023-01-15,221,30.0,Delhi,Grocery,2,,30000.0
1016,2023-01-16,252,35.0,Bangalore,Clothing,3,100,50000.0
1017,2023-01-17,201,25.0,Mumbai,Grocery,9,100,70000.0
1018,2023-01-18,287,,Mumbai,Electronics,7,,30000.0
1019,2023-01-19,229,25.0,,Electronics,7,,30000.0
1020,2023-01-20,237,25.0,Mumbai,Clothing,6,500,50000.0
1021,2023-01-21,201,35.0,,Clothing,8,100,
1022,2023-01-22,263,25.0,Pune,Clothing,4,1000,30000.0
1023,2023-01-23,259,30.0,Bangalore,Electronics,8,200,30000.0
1024,2023-01-24,220,30.0,,Grocery,4,200,70000.0
1025,2023-01-25,232,40.0,Pune,Electronics,8,,90000.0
1026,2023-01-26,275,,Mumbai,Grocery,9,500,50000.0
1027,2023-01-27,257,25.0,Mumbai,Electronics,3,200,50000.0
1028,2023-01-28,221,25.0,Pune,Grocery,3,100,
1029,2023-01-29,288,35.0,Mumbai,Electronics,2,,
1030,2023-01-30,248,30.0,Pune,Clothing,3,1000,50000.0
1031,2023-01-31,290,,,Electronics,3,,
1032,2023-02-01,258,40.0,,Grocery,5,1000,70000.0
1033,2023-02-02,241,30.0,Pune,Electronics,5,,50000.0
1034,2023-02-03,291,40.0,,Electronics,2,,
1035,2023-02-04,259,35.0,,Electronics,6,,50000.0
1036,2023-02-05,279,35.0,,Clothing,5,1000,90000.0
1037,2023-02-06,214,25.0,Delhi,Electronics,6,1000,30000.0
1038,2023-02-07,261,,Bangalore,Clothing,1,,50000.0
1039,2023-02-08,261,40.0,Mumbai,Clothing,5,200,30000.0
1040,2023-02-09,246,30.0,Delhi,Electronics,9,500,
1041,2023-02-10,261,35.0,,Electronics,2,500,30000.0
1042,2023-02-11,250,25.0,Pune,Electronics,1,500,50000.0
1043,2023-02-12,254,25.0,,Grocery,9,1000,90000.0
1044,2023-02-13,263,40.0,Bangalore,Electronics,9,1000,
1045,2023-02-14,202,35.0,,Clothing,9,200,50000.0
1046,2023-02-15,250,,Pune,Electronics,6,500,
1047,2023-02-16,206,35.0,Bangalore,Grocery,8,500,70000.0
1048,2023-02-17,220,40.0,,Electronics,1,,30000.0
1049,2023-02-18,272,40.0,Bangalore,Grocery,4,1000,70000.0
1050,2023-02-19,238,35.0,Mumbai,Grocery,1,500,50000.0
1051,2023-02-20,217,40.0,Mumbai,Electronics,8,200,90000.0
1052,2023-02-21,203,35.0,,Clothing,1,200,
1053,2023-02-22,288,30.0,Bangalore,Grocery,3,500,30000.0
1054,2023-02-23,259,35.0,Pune,Electronics,4,1000,
1055,2023-02-24,213,35.0,,Electronics,8,200,50000.0
1056,2023-02-25,208,40.0,Mumbai,Clothing,6,,
1057,2023-02-26,289,40.0,Mumbai,Grocery,7,200,30000.0
1058,2023-02-27,252,25.0,,Grocery,8,100,50000.0
1059,2023-02-28,201,25.0,Bangalore,Electronics,2,100,
1060,2023-03-01,283,30.0,Mumbai,Electronics,8,1000,90000.0
1061,2023-03-02,291,25.0,Bangalore,Clothing,3,500,50000.0
1062,2023-03-03,259,35.0,Mumbai,Clothing,7,1000,50000.0
1063,2023-03-04,270,40.0,Mumbai,Grocery,3,1000,90000.0
1064,2023-03-05,243,25.0,Delhi,Grocery,7,1000,70000.0
1065,2023-03-06,207,25.0,Mumbai,Electronics,2,1000,30000.0
1066,2023-03-07,246,30.0,Pune,Grocery,6,,70000.0
1067,2023-03-08,234,30.0,,Clothing,3,,
1068,2023-03-09,277,35.0,,Clothing,3,200,90000.0
1069,2023-03-10,280,40.0,Bangalore,Electronics,9,100,70000.0
1070,2023-03-11,235,30.0,Mumbai,Clothing,7,1000,50000.0
1071,2023-03-12,249,25.0,Pune,Clothing,5,200,
1072,2023-03-13,203,40.0,Bangalore,Clothing,7,100,
1073,2023-03-14,201,40.0,Delhi,Clothing,9,500,70000.0
1074,2023-03-15,205,25.0,Bangalore,Electronics,1,,70000.0
1075,2023-03-16,253,30.0,Bangalore,Electronics,7,100,90000.0
1076,2023-03-17,203,25.0,Mumbai,Grocery,6,500,30000.0
1077,2023-03-18,253,40.0,Delhi,Clothing,9,100,70000.0
1078,2023-03-19,292,,Bangalore,Grocery,1,,70000.0
1079,2023-03-20,262,,Pune,Electronics,4,,50000.0
1080,2023-03-21,217,35.0,Pune,Electronics,9,200,
1081,2023-03-22,289,25.0,,Electronics,4,1000,30000.0
